Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
27-Sep-24,EQ,7780.00,7810.00,7711.00,7768.40,7748.00,7756.00,7763.32,8192.00,6187.80,1178131.00,9146205846.85,111773.00
26-Sep-24,EQ,7640.00,7779.40,7587.55,7623.90,7750.50,7768.40,7703.91,8192.00,6187.80,1668165.00,12851398916.45,135704.00
25-Sep-24,EQ,7545.00,7640.00,7498.05,7554.20,7609.05,7623.90,7594.79,8192.00,6187.80,1272038.00,9660856892.35,115651.00
24-Sep-24,EQ,7597.00,7603.45,7483.90,7595.10,7540.05,7554.20,7540.36,8192.00,6187.80,1069540.00,8064716233.30,108687.00
23-Sep-24,EQ,7625.75,7635.95,7531.70,7582.45,7590.00,7595.10,7583.00,8192.00,6187.80,573497.00,4348826873.50,63656.00
20-Sep-24,EQ,7635.00,7655.00,7487.25,7590.35,7598.00,7582.45,7577.97,8192.00,6187.80,1645004.00,12465784114.10,150922.00
19-Sep-24,EQ,7675.00,7748.00,7560.00,7631.10,7598.00,7590.35,7637.72,8192.00,6187.80,1720644.00,13141798915.40,136094.00
18-Sep-24,EQ,7387.25,7672.50,7378.50,7365.50,7613.00,7631.10,7583.53,8192.00,6187.80,2974993.00,22560942837.00,215987.00
17-Sep-24,EQ,7337.50,7455.00,7286.15,7345.75,7361.20,7365.50,7382.20,8192.00,6187.80,1567786.00,11573710141.40,137797.00
16-Sep-24,EQ,7680.00,7680.00,7322.00,7598.50,7342.00,7345.75,7453.97,8192.00,6187.80,2679555.00,19973329755.75,228453.00
13-Sep-24,EQ,7428.30,7660.00,7352.00,7428.30,7596.00,7598.50,7553.47,8192.00,6187.80,2208438.00,16681366151.95,177346.00
12-Sep-24,EQ,7420.00,7440.00,7296.60,7345.55,7417.00,7428.30,7391.68,8192.00,6187.80,1446764.00,10694021568.80,136881.00
11-Sep-24,EQ,7250.00,7432.00,7206.30,7241.85,7361.00,7345.55,7343.73,8192.00,6187.80,1104890.00,8114015820.00,107918.00
10-Sep-24,EQ,7369.95,7369.95,7193.00,7347.45,7244.00,7241.85,7247.41,8192.00,6187.80,1308932.00,9486362980.25,147151.00
09-Sep-24,EQ,7324.00,7377.95,7262.80,7317.15,7342.00,7347.45,7331.02,8192.00,6187.80,878938.00,6443513244.50,121880.00
06-Sep-24,EQ,7255.55,7395.00,7255.55,7244.90,7314.85,7317.15,7328.76,8192.00,6187.80,1842827.00,13505629079.25,166279.00
05-Sep-24,EQ,7320.00,7326.65,7193.00,7299.50,7235.00,7244.90,7246.10,8192.00,6187.80,673447.00,4879864215.35,77709.00
04-Sep-24,EQ,7254.95,7377.00,7245.25,7353.80,7297.90,7299.50,7307.13,8192.00,6187.80,886746.00,6479569195.65,79615.00
03-Sep-24,EQ,7460.00,7460.00,7206.10,7440.05,7338.50,7353.80,7311.48,8192.00,6187.80,1898656.00,13881984350.05,165740.00
02-Sep-24,EQ,7274.00,7450.00,7229.00,7200.15,7420.00,7440.05,7374.26,8192.00,6187.80,2296378.00,16934082436.55,209089.00
30-Aug-24,EQ,7071.05,7215.05,7071.05,7063.55,7210.00,7200.15,7177.87,8192.00,6187.80,2044367.00,14674202525.30,152391.00
29-Aug-24,EQ,6889.05,7158.00,6881.55,6900.00,7066.65,7063.55,7067.96,8192.00,6187.80,2639159.00,18653471149.90,241887.00
28-Aug-24,EQ,6876.00,6917.00,6852.00,6863.60,6900.00,6900.00,6888.81,8192.00,6187.80,848986.00,5848504187.75,78498.00
27-Aug-24,EQ,6778.35,6873.35,6730.00,6778.35,6865.00,6863.60,6817.94,8192.00,6187.80,2035902.00,13880653632.65,137988.00
26-Aug-24,EQ,6776.00,6819.00,6756.05,6735.85,6782.00,6778.35,6784.13,8192.00,6187.80,898343.00,6094476482.90,69051.00
23-Aug-24,EQ,6755.00,6762.00,6704.95,6743.60,6732.00,6735.85,6736.95,8192.00,6187.80,618045.00,4163736372.50,55305.00
22-Aug-24,EQ,6750.00,6765.00,6723.90,6735.35,6745.00,6743.60,6746.48,8192.00,6187.80,728260.00,4913191079.25,79471.00
21-Aug-24,EQ,6721.95,6747.30,6695.00,6722.20,6734.00,6735.35,6730.52,8192.00,6187.80,633111.00,4261169264.10,61864.00
20-Aug-24,EQ,6647.35,6773.90,6616.35,6616.35,6710.40,6722.20,6714.28,8192.00,6187.80,957159.00,6426635507.05,115658.00
19-Aug-24,EQ,6638.00,6656.00,6593.60,6590.90,6619.00,6616.35,6617.09,8192.00,6187.80,528730.00,3498655983.40,61108.00
16-Aug-24,EQ,6505.00,6600.00,6425.00,6458.50,6585.95,6590.90,6518.16,8192.00,6187.80,753419.00,4910903764.30,92530.00
